Density	Viscosity	Gravity	FVF_component	w_tow	h_tow	L_pro	n_tows	Defect	FVF_variation	Full_Periodicity	n_elements_gap	n_elements_layer	angle_1	angle_2	angle_3	angle_4	angle_5	angle_6	Lset	Defect_Size	Defect_Transition	numCPUs_Alya
1100	0.015	1000	0.542948717948718	3	0.164	0.2	2	O	True	True	4	4	0	0	45	90	135	45	0.25	1	0.5	224
1100	0.015	1000	0.542948717948718	3	0.164	0.2	2	O	True	True	5	5	0	0	45	90	135	45	0.25	1	0.5	224
1100	0.015	1000	0.542948717948718	3	0.164	0.2	2	O	True	True	6	6	0	0	45	90	135	45	0.25	1	0.5	224
1100	0.015	1000	0.542948717948718	3	0.164	0.2	2	O	True	True	7	7	0	0	45	90	135	45	0.25	1	0.5	224
1100	0.015	1000	0.542948717948718	3	0.164	0.2	2	O	True	True	8	8	0	0	45	90	135	45	0.25	1	0.5	224
1100	0.015	1000	0.542948717948718	3	0.164	0.2	2	O	True	True	9	9	0	0	45	90	135	45	0.25	1	0.5	224
1100	0.015	1000	0.542948717948718	3	0.164	0.2	2	O	True	True	10	10	0	0	45	90	135	45	0.25	1	0.5	224
1100	0.015	1000	0.542948717948718	3	0.164	0.2	2	O	True	True	11	11	0	0	45	90	135	45	0.25	1	0.5	224
