BOUNDARIES, ELEMENTS
    1  105   106   1537   1536    52
    2  106   159   1590   1537    104
    3  159   212   1643   1590    156
    4  212   265   1696   1643    208
    5  265   318   1749   1696    260
    6  318   371   1802   1749    312
    7  371   424   1855   1802    364
    8  424   477   1908   1855    416
    9  477   530   1961   1908    468
    10  530   583   2014   1961    520
    11  583   636   2067   2014    572
    12  636   689   2120   2067    624
    13  689   742   2173   2120    676
    14  742   795   2226   2173    728
    15  795   848   2279   2226    780
    16  848   901   2332   2279    832
    17  901   954   2385   2332    884
    18  954   1007   2438   2385    936
    19  1007   1060   2491   2438    988
    20  1060   1113   2544   2491    1040
    21  1113   1166   2597   2544    1092
    22  1166   1219   2650   2597    1144
    23  1219   1272   2703   2650    1196
    24  1272   1325   2756   2703    1248
    25  1325   1378   2809   2756    1300
    26  1378   1431   2862   2809    1352
    27  1536   1537   2968   2967    1404
    28  1537   1590   3021   2968    1456
    29  1590   1643   3074   3021    1508
    30  1643   1696   3127   3074    1560
    31  1696   1749   3180   3127    1612
    32  1749   1802   3233   3180    1664
    33  1802   1855   3286   3233    1716
    34  1855   1908   3339   3286    1768
    35  1908   1961   3392   3339    1820
    36  1961   2014   3445   3392    1872
    37  2014   2067   3498   3445    1924
    38  2067   2120   3551   3498    1976
    39  2120   2173   3604   3551    2028
    40  2173   2226   3657   3604    2080
    41  2226   2279   3710   3657    2132
    42  2279   2332   3763   3710    2184
    43  2332   2385   3816   3763    2236
    44  2385   2438   3869   3816    2288
    45  2438   2491   3922   3869    2340
    46  2491   2544   3975   3922    2392
    47  2544   2597   4028   3975    2444
    48  2597   2650   4081   4028    2496
    49  2650   2703   4134   4081    2548
    50  2703   2756   4187   4134    2600
    51  2756   2809   4240   4187    2652
    52  2809   2862   4293   4240    2704
    53  2967   2968   4399   4398    2756
    54  2968   3021   4452   4399    2808
    55  3021   3074   4505   4452    2860
    56  3074   3127   4558   4505    2912
    57  3127   3180   4611   4558    2964
    58  3180   3233   4664   4611    3016
    59  3233   3286   4717   4664    3068
    60  3286   3339   4770   4717    3120
    61  3339   3392   4823   4770    3172
    62  3392   3445   4876   4823    3224
    63  3445   3498   4929   4876    3276
    64  3498   3551   4982   4929    3328
    65  3551   3604   5035   4982    3380
    66  3604   3657   5088   5035    3432
    67  3657   3710   5141   5088    3484
    68  3710   3763   5194   5141    3536
    69  3763   3816   5247   5194    3588
    70  3816   3869   5300   5247    3640
    71  3869   3922   5353   5300    3692
    72  3922   3975   5406   5353    3744
    73  3975   4028   5459   5406    3796
    74  4028   4081   5512   5459    3848
    75  4081   4134   5565   5512    3900
    76  4134   4187   5618   5565    3952
    77  4187   4240   5671   5618    4004
    78  4240   4293   5724   5671    4056
    79  4398   4399   5830   5829    4108
    80  4399   4452   5883   5830    4160
    81  4452   4505   5936   5883    4212
    82  4505   4558   5989   5936    4264
    83  4558   4611   6042   5989    4316
    84  4611   4664   6095   6042    4368
    85  4664   4717   6148   6095    4420
    86  4717   4770   6201   6148    4472
    87  4770   4823   6254   6201    4524
    88  4823   4876   6307   6254    4576
    89  4876   4929   6360   6307    4628
    90  4929   4982   6413   6360    4680
    91  4982   5035   6466   6413    4732
    92  5035   5088   6519   6466    4784
    93  5088   5141   6572   6519    4836
    94  5141   5194   6625   6572    4888
    95  5194   5247   6678   6625    4940
    96  5247   5300   6731   6678    4992
    97  5300   5353   6784   6731    5044
    98  5353   5406   6837   6784    5096
    99  5406   5459   6890   6837    5148
    100  5459   5512   6943   6890    5200
    101  5512   5565   6996   6943    5252
    102  5565   5618   7049   6996    5304
    103  5618   5671   7102   7049    5356
    104  5671   5724   7155   7102    5408
    105  5829   5830   7261   7260    5460
    106  5830   5883   7314   7261    5512
    107  5883   5936   7367   7314    5564
    108  5936   5989   7420   7367    5616
    109  5989   6042   7473   7420    5668
    110  6042   6095   7526   7473    5720
    111  6095   6148   7579   7526    5772
    112  6148   6201   7632   7579    5824
    113  6201   6254   7685   7632    5876
    114  6254   6307   7738   7685    5928
    115  6307   6360   7791   7738    5980
    116  6360   6413   7844   7791    6032
    117  6413   6466   7897   7844    6084
    118  6466   6519   7950   7897    6136
    119  6519   6572   8003   7950    6188
