BOUNDARIES, ELEMENTS
    1  1   11616   11619   4    1
    2  4   11619   11819   204    101
    3  204   11819   11920   305    201
    4  305   11920   12021   406    301
    5  406   12021   12122   507    401
    6  507   12122   12223   608    501
    7  608   12223   12324   709    601
    8  709   12324   12425   810    701
    9  810   12425   12526   911    801
    10  911   12526   12627   1012    901
    11  1012   12627   12728   1113    1001
    12  1113   12728   12829   1214    1101
    13  1214   12829   12930   1315    1201
    14  1315   12930   13031   1416    1301
    15  1416   13031   13132   1517    1401
    16  1517   13132   13233   1618    1501
    17  1618   13233   13334   1719    1601
    18  1719   13334   13435   1820    1701
    19  1820   13435   13536   1921    1801
    20  1921   13536   13637   2022    1901
    21  2022   13637   13738   2123    2001
    22  2123   13738   13839   2224    2101
    23  2224   13839   13940   2325    2201
    24  2325   13940   14041   2426    2301
    25  2426   14041   14142   2527    2401
    26  2527   14142   14243   2628    2501
    27  2628   14243   14344   2729    2601
    28  2729   14344   14445   2830    2701
    29  2830   14445   14546   2931    2801
    30  2931   14546   14647   3032    2901
    31  3032   14647   14748   3133    3001
    32  3133   14748   14849   3234    3101
    33  3234   14849   14950   3335    3201
    34  3335   14950   15051   3436    3301
    35  3436   15051   15152   3537    3401
    36  3537   15152   15253   3638    3501
    37  3638   15253   15354   3739    3601
    38  3739   15354   15455   3840    3701
    39  3840   15455   15556   3941    3801
    40  3941   15556   15657   4042    3901
    41  4042   15657   15758   4143    4001
    42  4143   15758   15859   4244    4101
    43  4244   15859   15960   4345    4201
    44  4345   15960   16061   4446    4301
    45  4446   16061   16162   4547    4401
    46  4547   16162   16263   4648    4501
    47  4648   16263   16364   4749    4601
    48  4749   16364   16465   4850    4701
    49  4850   16465   16566   4951    4801
    50  4951   16566   16667   5052    4901
    51  5052   16667   16768   5153    5001
    52  5153   16768   16869   5254    5101
    53  5254   16869   16970   5355    5201
    54  5355   16970   17071   5456    5301
    55  5456   17071   17172   5557    5401
    56  5557   17172   17273   5658    5501
    57  5658   17273   17374   5759    5601
    58  5759   17374   17475   5860    5701
    59  5860   17475   17576   5961    5801
    60  5961   17576   17677   6062    5901
    61  6062   17677   17778   6163    6001
    62  6163   17778   17879   6264    6101
    63  6264   17879   17980   6365    6201
    64  6365   17980   18081   6466    6301
    65  6466   18081   18182   6567    6401
    66  6567   18182   18283   6668    6501
    67  6668   18283   18384   6769    6601
    68  6769   18384   18485   6870    6701
    69  6870   18485   18586   6971    6801
    70  6971   18586   18687   7072    6901
    71  7072   18687   18788   7173    7001
    72  7173   18788   18889   7274    7101
    73  7274   18889   18990   7375    7201
    74  7375   18990   19091   7476    7301
    75  7476   19091   19192   7577    7401
    76  7577   19192   19293   7678    7501
    77  7678   19293   19394   7779    7601
    78  7779   19394   19495   7880    7701
    79  7880   19495   19596   7981    7801
    80  7981   19596   19697   8082    7901
    81  8082   19697   19798   8183    8001
    82  8183   19798   19899   8284    8101
    83  8284   19899   20000   8385    8201
    84  8385   20000   20101   8486    8301
    85  8486   20101   20202   8587    8401
    86  8587   20202   20303   8688    8501
    87  8688   20303   20404   8789    8601
    88  8789   20404   20505   8890    8701
    89  8890   20505   20606   8991    8801
    90  8991   20606   20707   9092    8901
    91  9092   20707   20808   9193    9001
    92  9193   20808   20909   9294    9101
    93  9294   20909   21010   9395    9201
    94  9395   21010   21111   9496    9301
    95  9496   21111   21212   9597    9401
    96  9597   21212   21313   9698    9501
    97  9698   21313   21414   9799    9601
    98  9799   21414   21515   9900    9701
    99  9900   21515   21616   10001    9801
    100  10001   21616   21717   10102    9901
    101  10102   21717   21818   10203    10001
    102  10203   21818   21919   10304    10101
    103  10304   21919   22020   10405    10201
    104  10405   22020   22121   10506    10301
    105  10506   22121   22222   10607    10401
    106  10607   22222   22323   10708    10501
    107  10708   22323   22424   10809    10601
    108  10809   22424   22525   10910    10701
    109  10910   22525   22626   11011    10801
    110  11011   22626   22727   11112    10901
    111  11112   22727   22828   11213    11001
    112  11213   22828   22929   11314    11101
    113  11314   22929   23030   11415    11201
    114  11415   23030   23131   11516    11301
    115  11616   23231   23234   11619    11401
    116  11619   23234   23434   11819    11501
    117  11819   23434   23535   11920    11601
    118  11920   23535   23636   12021    11701
    119  12021   23636   23737   12122    11801
    120  12122   23737   23838   12223    11901
    121  12223   23838   23939   12324    12001
    122  12324   23939   24040   12425    12101
    123  12425   24040   24141   12526    12201
    124  12526   24141   24242   12627    12301
    125  12627   24242   24343   12728    12401
    126  12728   24343   24444   12829    12501
    127  12829   24444   24545   12930    12601
    128  12930   24545   24646   13031    12701
    129  13031   24646   24747   13132    12801
    130  13132   24747   24848   13233    12901
    131  13233   24848   24949   13334    13001
    132  13334   24949   25050   13435    13101
    133  13435   25050   25151   13536    13201
    134  13536   25151   25252   13637    13301
    135  13637   25252   25353   13738    13401
    136  13738   25353   25454   13839    13501
    137  13839   25454   25555   13940    13601
    138  13940   25555   25656   14041    13701
    139  14041   25656   25757   14142    13801
    140  14142   25757   25858   14243    13901
    141  14243   25858   25959   14344    14001
    142  14344   25959   26060   14445    14101
    143  14445   26060   26161   14546    14201
    144  14546   26161   26262   14647    14301
    145  14647   26262   26363   14748    14401
    146  14748   26363   26464   14849    14501
    147  14849   26464   26565   14950    14601
    148  14950   26565   26666   15051    14701
    149  15051   26666   26767   15152    14801
    150  15152   26767   26868   15253    14901
    151  15253   26868   26969   15354    15001
    152  15354   26969   27070   15455    15101
    153  15455   27070   27171   15556    15201
    154  15556   27171   27272   15657    15301
    155  15657   27272   27373   15758    15401
    156  15758   27373   27474   15859    15501
    157  15859   27474   27575   15960    15601
    158  15960   27575   27676   16061    15701
    159  16061   27676   27777   16162    15801
    160  16162   27777   27878   16263    15901
    161  16263   27878   27979   16364    16001
    162  16364   27979   28080   16465    16101
    163  16465   28080   28181   16566    16201
    164  16566   28181   28282   16667    16301
    165  16667   28282   28383   16768    16401
    166  16768   28383   28484   16869    16501
    167  16869   28484   28585   16970    16601
    168  16970   28585   28686   17071    16701
    169  17071   28686   28787   17172    16801
    170  17172   28787   28888   17273    16901
    171  17273   28888   28989   17374    17001
    172  17374   28989   29090   17475    17101
    173  17475   29090   29191   17576    17201
    174  17576   29191   29292   17677    17301
    175  17677   29292   29393   17778    17401
    176  17778   29393   29494   17879    17501
    177  17879   29494   29595   17980    17601
    178  17980   29595   29696   18081    17701
    179  18081   29696   29797   18182    17801
    180  18182   29797   29898   18283    17901
    181  18283   29898   29999   18384    18001
    182  18384   29999   30100   18485    18101
    183  18485   30100   30201   18586    18201
    184  18586   30201   30302   18687    18301
    185  18687   30302   30403   18788    18401
    186  18788   30403   30504   18889    18501
    187  18889   30504   30605   18990    18601
    188  18990   30605   30706   19091    18701
    189  19091   30706   30807   19192    18801
    190  19192   30807   30908   19293    18901
    191  19293   30908   31009   19394    19001
    192  19394   31009   31110   19495    19101
    193  19495   31110   31211   19596    19201
    194  19596   31211   31312   19697    19301
    195  19697   31312   31413   19798    19401
    196  19798   31413   31514   19899    19501
    197  19899   31514   31615   20000    19601
    198  20000   31615   31716   20101    19701
    199  20101   31716   31817   20202    19801
    200  20202   31817   31918   20303    19901
    201  20303   31918   32019   20404    20001
    202  20404   32019   32120   20505    20101
    203  20505   32120   32221   20606    20201
    204  20606   32221   32322   20707    20301
    205  20707   32322   32423   20808    20401
    206  20808   32423   32524   20909    20501
    207  20909   32524   32625   21010    20601
    208  21010   32625   32726   21111    20701
    209  21111   32726   32827   21212    20801
    210  21212   32827   32928   21313    20901
    211  21313   32928   33029   21414    21001
    212  21414   33029   33130   21515    21101
    213  21515   33130   33231   21616    21201
    214  21616   33231   33332   21717    21301
    215  21717   33332   33433   21818    21401
    216  21818   33433   33534   21919    21501
    217  21919   33534   33635   22020    21601
    218  22020   33635   33736   22121    21701
    219  22121   33736   33837   22222    21801
    220  22222   33837   33938   22323    21901
    221  22323   33938   34039   22424    22001
    222  22424   34039   34140   22525    22101
    223  22525   34140   34241   22626    22201
    224  22626   34241   34342   22727    22301
    225  22727   34342   34443   22828    22401
    226  22828   34443   34544   22929    22501
    227  22929   34544   34645   23030    22601
    228  23030   34645   34746   23131    22701
    229  23231   34846   34849   23234    22801
    230  23234   34849   35049   23434    22901
    231  23434   35049   35150   23535    23001
    232  23535   35150   35251   23636    23101
    233  23636   35251   35352   23737    23201
    234  23737   35352   35453   23838    23301
    235  23838   35453   35554   23939    23401
    236  23939   35554   35655   24040    23501
    237  24040   35655   35756   24141    23601
    238  24141   35756   35857   24242    23701
    239  24242   35857   35958   24343    23801
    240  24343   35958   36059   24444    23901
    241  24444   36059   36160   24545    24001
    242  24545   36160   36261   24646    24101
    243  24646   36261   36362   24747    24201
    244  24747   36362   36463   24848    24301
    245  24848   36463   36564   24949    24401
    246  24949   36564   36665   25050    24501
    247  25050   36665   36766   25151    24601
    248  25151   36766   36867   25252    24701
    249  25252   36867   36968   25353    24801
    250  25353   36968   37069   25454    24901
    251  25454   37069   37170   25555    25001
    252  25555   37170   37271   25656    25101
    253  25656   37271   37372   25757    25201
    254  25757   37372   37473   25858    25301
    255  25858   37473   37574   25959    25401
    256  25959   37574   37675   26060    25501
    257  26060   37675   37776   26161    25601
    258  26161   37776   37877   26262    25701
    259  26262   37877   37978   26363    25801
    260  26363   37978   38079   26464    25901
    261  26464   38079   38180   26565    26001
    262  26565   38180   38281   26666    26101
    263  26666   38281   38382   26767    26201
    264  26767   38382   38483   26868    26301
    265  26868   38483   38584   26969    26401
    266  26969   38584   38685   27070    26501
    267  27070   38685   38786   27171    26601
    268  27171   38786   38887   27272    26701
    269  27272   38887   38988   27373    26801
    270  27373   38988   39089   27474    26901
    271  27474   39089   39190   27575    27001
    272  27575   39190   39291   27676    27101
    273  27676   39291   39392   27777    27201
    274  27777   39392   39493   27878    27301
    275  27878   39493   39594   27979    27401
    276  27979   39594   39695   28080    27501
    277  28080   39695   39796   28181    27601
    278  28181   39796   39897   28282    27701
    279  28282   39897   39998   28383    27801
    280  28383   39998   40099   28484    27901
    281  28484   40099   40200   28585    28001
    282  28585   40200   40301   28686    28101
    283  28686   40301   40402   28787    28201
    284  28787   40402   40503   28888    28301
    285  28888   40503   40604   28989    28401
    286  28989   40604   40705   29090    28501
    287  29090   40705   40806   29191    28601
    288  29191   40806   40907   29292    28701
    289  29292   40907   41008   29393    28801
    290  29393   41008   41109   29494    28901
    291  29494   41109   41210   29595    29001
    292  29595   41210   41311   29696    29101
    293  29696   41311   41412   29797    29201
    294  29797   41412   41513   29898    29301
    295  29898   41513   41614   29999    29401
    296  29999   41614   41715   30100    29501
    297  30100   41715   41816   30201    29601
    298  30201   41816   41917   30302    29701
    299  30302   41917   42018   30403    29801
    300  30403   42018   42119   30504    29901
    301  30504   42119   42220   30605    30001
    302  30605   42220   42321   30706    30101
    303  30706   42321   42422   30807    30201
    304  30807   42422   42523   30908    30301
    305  30908   42523   42624   31009    30401
    306  31009   42624   42725   31110    30501
    307  31110   42725   42826   31211    30601
    308  31211   42826   42927   31312    30701
    309  31312   42927   43028   31413    30801
    310  31413   43028   43129   31514    30901
    311  31514   43129   43230   31615    31001
    312  31615   43230   43331   31716    31101
    313  31716   43331   43432   31817    31201
    314  31817   43432   43533   31918    31301
    315  31918   43533   43634   32019    31401
    316  32019   43634   43735   32120    31501
    317  32120   43735   43836   32221    31601
    318  32221   43836   43937   32322    31701
    319  32322   43937   44038   32423    31801
    320  32423   44038   44139   32524    31901
    321  32524   44139   44240   32625    32001
    322  32625   44240   44341   32726    32101
    323  32726   44341   44442   32827    32201
    324  32827   44442   44543   32928    32301
    325  32928   44543   44644   33029    32401
    326  33029   44644   44745   33130    32501
    327  33130   44745   44846   33231    32601
    328  33231   44846   44947   33332    32701
    329  33332   44947   45048   33433    32801
    330  33433   45048   45149   33534    32901
    331  33534   45149   45250   33635    33001
    332  33635   45250   45351   33736    33101
    333  33736   45351   45452   33837    33201
    334  33837   45452   45553   33938    33301
    335  33938   45553   45654   34039    33401
    336  34039   45654   45755   34140    33501
    337  34140   45755   45856   34241    33601
    338  34241   45856   45957   34342    33701
    339  34342   45957   46058   34443    33801
    340  34443   46058   46159   34544    33901
    341  34544   46159   46260   34645    34001
    342  34645   46260   46361   34746    34101
    343  35049   46462   46563   35150    34201
    344  35150   46563   46664   35251    34301
    345  35251   46664   46765   35352    34401
    346  35352   46765   46866   35453    34501
    347  35453   46866   46967   35554    34601
    348  35554   46967   47068   35655    34701
    349  35655   47068   47169   35756    34801
    350  35756   47169   47270   35857    34901
    351  35857   47270   47371   35958    35001
    352  35958   47371   47472   36059    35101
    353  36059   47472   47573   36160    35201
    354  36160   47573   47674   36261    35301
    355  36261   47674   47775   36362    35401
    356  36362   47775   47876   36463    35501
    357  36463   47876   47977   36564    35601
    358  36564   47977   48078   36665    35701
    359  36665   48078   48179   36766    35801
    360  36766   48179   48280   36867    35901
    361  36867   48280   48381   36968    36001
    362  36968   48381   48482   37069    36101
    363  37069   48482   48583   37170    36201
    364  37170   48583   48684   37271    36301
    365  37271   48684   48785   37372    36401
    366  37372   48785   48886   37473    36501
    367  37473   48886   48987   37574    36601
    368  37574   48987   49088   37675    36701
    369  37675   49088   49189   37776    36801
    370  37776   49189   49290   37877    36901
    371  37877   49290   49391   37978    37001
    372  37978   49391   49492   38079    37101
    373  38079   49492   49593   38180    37201
    374  38180   49593   49694   38281    37301
    375  38281   49694   49795   38382    37401
    376  38382   49795   49896   38483    37501
    377  38483   49896   49997   38584    37601
    378  38584   49997   50098   38685    37701
    379  38685   50098   50199   38786    37801
    380  38786   50199   50300   38887    37901
    381  38887   50300   50401   38988    38001
    382  38988   50401   50502   39089    38101
    383  39089   50502   50603   39190    38201
    384  39190   50603   50704   39291    38301
    385  39291   50704   50805   39392    38401
